"CD_DISCENTE","ANO_INGRESSO","SEMESTRE_INGRESSO","TIPO_INGRESSO","CAMPUS","COD_CURSO","CURSO","NATURALIDADE","UF_NATURALIDADE","PAIS_NATURALIDADE","BAIRRO_ENDERECO","CIDADE_ENDERECO","UF_ENDERECO","SEXO","ANO_NASCIMENTO","COTA","TIPO_COTA","ESCOLARIDADE_PAI","ESCOLARIDADE_MAE","DEFICIENCIA"
359082,2022,1,SISU,AGRESTE,1000,ADMINISTRAÇÃO -CAA,ALTINHO,PE,BRA,CENTRO,ALTINHO,PE,M,2001,S,L6,ENSINO FUNDAMENTAL INCOMPLETO,ANALFABETO,N
358668,2022,1,SISU,AGRESTE,1000,ADMINISTRAÇÃO -CAA,ALTINHO,PE,BRA,CENTRO,ALTINHO,PE,M,2003,S,L2,ENSINO FUNDAMENTAL INCOMPLETO,ENSINO FUNDAMENTAL INCOMPLETO,N
357112,2022,1,SISU,AGRESTE,1000,ADMINISTRAÇÃO -CAA,AMARAJI,PE,BRA,CIDADE UNIVERSITARIA,RECIFE,PE,M,2004,S,L2,,SUPERIOR INCOMPLETO,N
357368,2022,1,SISU,AGRESTE,1000,ADMINISTRAÇÃO -CAA,AMERICANA,SP,BRA,CIDADE UNIVERSITARIA,RECIFE,PE,M,2002,N,A0,ENSINO SUPERIOR,SEGUNDO GRAU INCOMPLETO,N
354685,2022,1,SISU,AGRESTE,1000,ADMINISTRAÇÃO -CAA,ARCOVERDE,PE,BRA,CIDADE UNIVERSITARIA,RECIFE,PE,M,2004,S,L5,ENSINO FUNDAMENTAL INCOMPLETO,ENSINO FUNDAMENTAL INCOMPLETO,N
358999,2022,1,SISU,AGRESTE,1000,ADMINISTRAÇÃO -CAA,BARRA DE GUABIRABA,PE,BRA,CENTRO,BEZERROS,PE,F,2002,S,L2,ENSINO FUNDAMENTAL INCOMPLETO,ENSINO FUNDAMENTAL INCOMPLETO,N
353448,2022,1,SISU,AGRESTE,1000,ADMINISTRAÇÃO -CAA,BELO JARDIM,PE,BRA,SAO PEDRO,BELO JARDIM,PE,F,1994,N,A0,ENSINO MEDIO,ENSINO MEDIO,N
356175,2022,1,SISU,AGRESTE,1000,ADMINISTRAÇÃO -CAA,BELO JARDIM,PE,BRA,SANTO ANTONIO,BELO JARDIM,PE,F,2003,S,L5,ENSINO FUNDAMENTAL INCOMPLETO,ENSINO FUNDAMENTAL INCOMPLETO,N
356445,2022,1,SISU,AGRESTE,1000,ADMINISTRAÇÃO -CAA,BELO JARDIM,PE,BRA,TANCREDO NEVES,BELO JARDIM,PE,F,2004,S,L6,ENSINO MEDIO,ENSINO MEDIO,N
355466,2022,1,SISU,AGRESTE,1000,ADMINISTRAÇÃO -CAA,BELO JARDIM,PE,BRA,SANTO ANTONIO,BELO JARDIM,PE,M,2000,S,L6,ENSINO FUNDAMENTAL,ENSINO FUNDAMENTAL INCOMPLETO,N
353942,2022,1,SISU,AGRESTE,1000,ADMINISTRAÇÃO -CAA,BELO JARDIM,PE,BRA,CENTRO,BELO JARDIM,PE,M,2002,N,A0,ENSINO MEDIO,ENSINO SUPERIOR,N
358397,2022,1,SISU,AGRESTE,1000,ADMINISTRAÇÃO -CAA,BELO JARDIM,PE,BRA,SAO PEDRO,BELO JARDIM,PE,M,2002,S,L2,SEGUNDO GRAU INCOMPLETO,ENSINO FUNDAMENTAL INCOMPLETO,N
358423,2022,1,SISU,AGRESTE,1000,ADMINISTRAÇÃO -CAA,BELO JARDIM,PE,BRA,CIDADE UNIVERSITARIA,RECIFE,PE,F,2001,S,L2,ENSINO MEDIO,ENSINO FUNDAMENTAL INCOMPLETO,N
